@RELATION french

@ATTRIBUTE text   string
@ATTRIBUTE class  {CD,CI,DZ,FR,MA,SN}

@DATA
" Si l’Est du Congo continue de suffoquer, si Kinshasa se prend pour le Congo et attend toujours ses poissons commandés de Namibie pour couvrir le néant, le Kasaï peine à constater qu’il porte son fils au pouvoir.", CD
" Le programme « Tshilejelu », lancé avec pompes, n’a fait que copier celui des 100 jours lancé à Kinshasa, et qui n’a donné de résultats que l’enrichissement d’un petit nombre dont certains ont effleuré les portes de prison.", CD
" A Mbuji-Mayi, Félix Tshisekedi est obligé de faire référence au « sang » qui le lie à « ses frères », avant de présenter son mea-culpa, promettant, cette fois-là, d’y habiter, mais si et seulement si ses « frères » lui offraient un second mandat.", CD
" Le Chef de l’Etat, qui semble alors découvrir la vraie réalité du coin, sans doute la même que celle de tous les Congolais qui vivent loin de Kinshasa, décide de faire une tournée dans la région.", CD
" Une tournée périlleuse, mais riche en enseignement.", CD
" Une tournée qui met en lumière le chaos dans lequel se trouve les provinces du pays, mais également les carences d’un pouvoir qui aura pris trois ans pour se rendre compte qu’il avait le pouvoir.", CD
" Une tournée qui permet également de voir qu’une fois le « chef » dans un coin, Kinshasa se mobilise pour « faire quelque chose » : Mbuji-Mayi a tout à coup de l’électricité.", CD
" Mais qui repart au départ du Président.", CD
" Le ministre du Transport, déguisé comme un Kalif arabe, débarque à Lodja, tentant de réhabiliter un aéroport qui ne l’était que de nom.", CD
" Nous voilà face à un spectacle pitoyable où gouvernement et hauts cadres politiques s’adonnent à des courbettes pour « faire triompher » le Chef de l’Etat durant sa tournée.", CD
" Des Chinchard et des trous ", CD
" Pendant ce temps à Kinshasa, le Premier ministre est lui concentré à distribuer du chinchard qu’il a finalement fini par acheter — alors que son ministre de l’économie, qui avait eu l’idée d’aller lui-même pêcher ce poisson en Namibie, cherchant à triompher des opérateurs importateurs à qui il peine à imposer une réduction populiste des prix, n’a pas pu organiser la pèche.", CD
" Un spot publicitaire accompagne des « kinois » heureux de recevoir leur part de poisson pour les fêtes de fin d’année.", CD
" L’initiative symbolise néanmoins un gouvernement en perdition, qui s’accroche aux petits symboles, n’ayant alors pas pu faire mieux.", CD
" Le chapelet d’intentions présenté par Sama Lukonde à l’Assemblée nationale à l’occasion de son investiture en avril 2021 devrait être oublié.", CD
" La situation est telle que le Premier ministre va lancer un programme « Kinshasa zéro trou » qui ne donne que des trous dans une gouvernance jamais à la hauteur des enjeux.", CD
" Si les Kinois ont leurs poissons, les vingt-cinq autres provinces du Congo devrait attendre le père noël, eux qui n’ont de maison, ni de cheminé.", CD
" Les vingt-six provinces du Congo fêtent noël avec la taxe/service RAM, une digne escroquerie que même le Chef de l’État n’a pas souhaité démantelé.", CD
" Le parlement n’est pas exempté par ce folklore.", CD
" Les dirigeants de deux chambres incarnent à la perfection la décadence institutionnelle en RDC.", CD
" D’un côté, Christophe Mboso N’Kodia qui s’illustre dans un fourvoiement inégalé, n’a la concurrence que celle de Modeste Bahati qui s’offre une mission officiellement en Uganda pour inaugurer un… abattoir dont les mauvaises langues de Kinshasa affirment qu’il en servait l’actionnaire.", CD
" Les ministres et les chefs de partis de l’Union sacrée ne rivalisent que pour démontrer leur soutien au « Chef de l’Etat ».", CD
" Pour chaque passage devant les caméras, tout est fait pour y insérer le nom de Félix Tshisekedi.", CD
" Quant aux mandataires, ceux qui sont en postes doivent jurer fidélité à Jules Alingete, sinon, ils doivent bien chanter à la gloire des dirigeants de l’UDPS.", CD
" Les intérimaires, comme à l’OGRFREM, versent des pensions aux puissants du régime, priant pour qu’ils soient confirmés au poste, tout en dépeçant pourtant les sociétés publiques.", CD
" Il y a certes des voix qui s’élèvent.", CD
" Mais bien souvent, celles-ci émanent des mécontents du partage des postes ministériels.", CD
" S’il y a un homme qui soit capable de vous dire où va la gouvernance de Félix Tshisekedi au Congo, celui-là n’est pas encore né.", CD
" A défaut d’être déjà mort, comme feu Etienne Tshisekedi.", CD
" Mais ce Président en a lui-même conscience.", CD
" En témoigne d’abord son discours sur l’État de la Nation, où la plus grande réalisation de son pouvoir s’appelle : Jules Alingete.", CD
" Mais le Chef anti-corruption ne peut pas non plus vociférer.", CD
" Les principaux condamnés dans la lutte anti-corruption sont aujourd’hui tous en liberté.", CD
" Modeste Makabuza et ses amis ont été graciés par le Président !", CD
" Willy Bakonga également, dans un folklore institutionnel.", CD
" Vital Kamerhe, le plus politique, est finalement en liberté provisoire, alors que le Chef de l’Etat disait de lui être « un Monsieur sérieux qui a un rôle à jouer dans l’avenir ».", CD
" Comme Bruno Tshibala à l’époque, le président de l’UNC est même attendu à la Primature.", CD
" Sans doute dans l’idée de mettre fin à ce folklore.", CD
" Car le temps presse.", CD
" Cela fait déjà trois ans que Tshisekedi est au pouvoir.", CD
" Et l’année 2023, électorale, est déjà à oublier.", CD
" « VK », le premier amour de FATSHI, s’impose alors comme le seul capable de donner un « sens politique » au vacarme incarné depuis son départ pour Makala.", CD
" Opposition Folklorique ", CD
" Et Tshisekedi peut compter sur son opposition, qui n’est pas non plus au beau fixe.", CD
" Elle aussi s’offre un folklore digne de sa réputation.", CD
" Moïse Katumbi est coincé entre pouvoir et opposition, dans la crainte tantôt de perdre ses cadres qui sont pourtant au gouvernement, tantôt d’avoir à affronter frontalement Tshisekedi au risque d’y laisser des plumes.", CD
" L’ancien gouverneur du Katanga a tenté de bomber le torse, avant de rencontrer ses limites.", CD
" Se lançant dans des consultations qui n’ont jamais accouché de résultats.", CD
" Pendant ce temps, il navigue sur terre sèche à Kashobwe, tentant de dénoncer l’opération chinchards, mais soulignant surtout ses propres nomadismes dans la politique-spectacle.", CD
" Martin Fayulu a perdu son verbe contre Joseph Kabila, de qui il s’en approche de plus en plus.", CD
" Les deux n’avaient-ils pas tenté de coaliser avant que l’ancien président lui préfère à Tshisekedi ?", CD
" Joseph Kabila justement, est sans doute le grand gagnant de la scène.", CD
" Les Tshisekedi au pouvoir finiront un jour par le faire regretter auprès des Congolais.", CD
" L’accident de circulation et les trois tonneaux auxquels il a survécu en décembre ne font que renforcer son mythe.", CD
" Mais il doit cependant trouver un antidote à Emmanuel Shadary qui n’en finit pas de démonter le PPRD, l’ancien parti présidentiel miné par des guerres, souvent entre vieille garde ayant perdu le pouvoir et une jeunesse qui a peur de ne plus en avoir un jour.", CD
" Le Congo danse le folklore des politiques.", CD
" Sa résilience prouvée devrait suffire, en attendant les grandes échéances de 2023, pour se mettre à nouveau à rêver.", CD
" Mais le Congo n’a pas a désespérer.", CD
" De ses chaos naissent toujours des espoirs.", CD
" Denis Mukwege continue toujours d’incarner la voix de sans voix de l’Est du pays.", CD
" La LUCHA et ses amis de mouvements citoyens continuent de tenir, souvent seuls, face au vent.", CD
" Mais ils militent toujours pour un lendemain attendu par tout un peuple.", CD
" Ce pays s’est même offert une victoire sans équivoque en faisant inscrire sa Rumba dans le patrimoine universel.", CD
" Kabasele Tshamala, Nicolas Kasanda, Wendo Kolosey et ses compagnons « chansonniers » doivent être fiers d’eux.", CD
" Non seulement ils ont réussi à créer un véritable patrimoine universel, ils offrent à ce jour la seule victoire véridique à ce peuple qui n’en demande pas tant.", CD
" De quoi garder espoir, en regardant en direction de Félix Tshisekedi, espérant alors un ressaisissement.", CD
" Même celui de dernière minute.", CD
" Après tout, n’est-il pas le « Fils du Sphinx » ?!.", CD
" Litsani Choukran, Le Fondé est de retour.", CD
" Soutenez POLITICO.CD!", CD
" Si vous appréciez le travail de POLITICO.CD, sachez que votre média ne vit que des contributions et des annonces publicitaires, qui lui permettent de sauvegarder son indépendance éditoriale et de continuer à fournir des enquêtes de qualité.", CD
" Dès lors, nous vous prions de faire un geste.", CD
" Chaque contribution, qu'elle soit petite ou grande, fait la différence.", CD
" 9 Commentaires ", CD
" C’est très beau votre texte.", CD
" N’abandonne pas cher Fondé.", CD
" chargement… ", CD
" Le peuple est leurré par les discours des politiciens et est abandonné à son triste sort… ", CD
" Le fils du sphinx qui hier incarnait l’espoir de tout un peuple est devenu aujourd’hui l’image du désespoir.", CD
" chargement… ", CD
" Non mais quelle plume sans filtre!!", CD
" Merci Benjamin!", CD
" Du Grabd Angle qui nous manquait, comme nous l’aimons.", CD
" Merci; bon retour, bonne année et plénitude!", CD
" chargement… ", CD
" Félicitations pour cette plume en or.", CD
" Plus je lisais, plus j’étais emporté, tel dans une série romantique.", CD
" chargement… ", CD
" Vous êtes la plume de tout un peuple!", CD
" chargement… ", CD
" Bravo, un bel article qui retrace et résume la politique actuelle du pays menée par les gangsters sans réelle vision pour le pays et son peuple!", CD
" chargement… ", CD
" J’affirme le fondé est de retour, un décryptage dans les limites de la vérité et de la réalité ", CD
" RDC — Jean-Marc Kabund : comment le maître-nageur s’est noyé ", CD
" C’est L’histoire d’une étoile filante au cœur du pouvoir, une des ascensions les plus fulgurantes en RDC, mais aussi une des chutes les plus brusques et brutales.", CD
" Découvrez l’histoire de la varappe et de la dégringolade de Jean-Marc Kabund, numéro deux officieux du pouvoir en République démocratique du Congo.", CD
" La légende raconte que Icare était un enfant Grec vivant en Crête.", CD
" Son père, Dédale, était un “ingénieur” architecte.", CD
" Il a créé un labyrinthe pour le roi Minos.", CD
" Ce dernier avait demandé à Dédale de construire le labyrinthe pour enfermer son fils, le Minotaure, bête mi-homme mi-taureau qui avait était ensorcelé par Poséïdon (Dieu de la mer).", CD
" Thésée, était un grec qui voulait tuer le minotaure.", CD
" Ariane, l’amoureuse de Thésée, et la fille de Minos, ne voulait pas que son amoureux se perde dans le labyrinthe.", CD
" Dédale lui donna l’idée de donner un fil à Thésée (le fil d’Ariane) pour l’aider à sortir du labyrinthe une fois le Minotaure tué.", CD
" Mais Minos le sut, et, pour se venger, fit jeter Dédale et son fils Icare dans le labyrinthe.", CD
" Mais Dédale était vraiment ingénieux : il observa les oiseaux, récupéra leurs plumes qui étaient tombées, et avec de la cire, les colla les plumes sur ses bras et ceux d’Icare.", CD
" Puis, ils prirent leur envol.", CD
" Dédale avertit cependant Icare :« Ne vole ni trop haut car le soleil ferait fondre la cire, ni trop bas car l’écume alourdirait tes plumes ».", CD
" Mais Icare, tellement fasciné de pouvoir voler, vola trop près du soleil et la cire fondit.", CD
" Il tomba dans la mer et se noya.", CD
" Cette légende grecque connue depuis des siècles est une véritable leçon de société pour ceux qui grimpent vers le sommet et finissent par devenir de victimes de leur vantardise et de leur naïveté.", CD
" En République démocratique du Congo, Jean-Marc Kabund, numéro deux officieux du pouvoir, l’incarne de manière aussi parfaite que naïve.", CD
" Pour autant, l’histoire de ce jeune qui finit par devenir l’un des symboles de l’ascension sociale au Congo commence de manière heureuse.", CD
" Il a 35 ans et une vie difficilement vécue a déjà laissé des traces sur son visage qui n’a rien de juvénile.", CD
" Le 12 août 2016, Etienne Tshisekedi prend son monde à contre-pied et nomme ce lui que l’on présente brusquement comme Jean-Marc Kabund-a-Kabund, Secrétaire général de l’UDPS, principal parti d’opposition en RDC.", CD
" C’est la première fois que le Congo découvre, au coeur de sa politique, cet homme dont le seul fait d’arme est une vidéo de 30 secondes où on voit Etienne Tshisekedi le présenter comme Responsable interfédéral de l’UDPS à Kamina en 2011.", CD
" - Publicité- ", CD
" Dans le communiqué annonçant cette nomination, Etienne Tshisekedi évoque alors « l’impératif de redynamiser l’exécutif national du parti en l’adaptant aux enjeux politiques de l’heure ».", CD
" Mais au sein de ce parti tourmenté, la nomination n’est pas accueillie unanimement.", CD
" Bruno Mavungu, Secrétaire général depuis 2012, finit par claquer la porte.", CD
" Kabund, dit-on dans les entourages du parti, est un parfait inconnu.", CD
" Jusque-là, il n’était que le président de la fédération de l’UDPS du Haut-Lomami.", CD
" Les combats éclatent entre partisans de Kabund et ceux de Mavungu le jour d’investiture du nouveau Secrétaire général.", CD
" Le pont de Félix Tshisekedi vers le pouvoir ", CD
" Néanmoins, à cette époque, la nomination de Jean-Marc Kabund comme Secrétaire général de l’Union pour la Démocratie et le Progrès Social (UDPS) a lieu suivant deux objectifs, du côté des Tshisekedi : s’assurer le soutien de Moïse Katumbi et créer un passage vers la présidence du parti pour son fils Félix Tshisekedi.", CD
" En effet, ce jeune-homme qui se fait passer pour un originaire de la région de Kamina, alors qu’il s’avère finalement être du Kasaï, est plébiscité par Moïse Katumbi, qui venait de quitter Joseph Kabila pour s’allier à Etienne Tshisekedi.", CD
" Les deux forment alors la principale opposition contre l’ancien président Joseph Kabila derrière leur coalition du Rassemblement.", CD
" Toutefois, dans la Cour des Tshisekedi, une autre partition se joue.", CD
" Le Sphinx a 80 ans et ses forces le lâchent.", CD
" Son épouse, Marthe Tshisekedi, véritable « maitre à jouer » du parti, veut propulser son fils, Félix Tshisekedi, comme l’unique héritier du leader historique de l’opposition en RDC.", CD
" « C’est ainsi qu’en choisissant Jean-Marc Kabund, qui n’est même pas connu et qui n’a pas du tout l’ambition de diriger le parti, la famille de Tshisekedi s’est assurée de voir Félix hériter la place de son père », explique un analyste.", CD
" Car entre-temps, Félix Tshisekedi, le fils sur qui la famille Tshisekedi compte pour reprendre les rênes du parti, n’a pas beaucoup gravi les échelons au sein de l’UDPS depuis sa nomination, en 2008, au poste de secrétaire national chargé des affaires extérieures.", CD
" En 2016, alors que Bruno Mavungu quittait son poste, d’autres compagnons de Tshisekedi revendiquent la succession, au détriment de son fils.", CD
" Il y a, entre autres, Valentin Mubake ou encore Bruno Tshibala.", CD
" Ainsi, en nommant Jean-Marc Kabund, totalement imprévu, Etienne Tshisekedi contente son allié Katumbi, mais fait également avancer son fils.", CD
" Félix Tshisekedi est par ailleurs nommé Secrétaire général adjoint, aux côtés de Bruno Tshibala et Valentin Mubake.", CD
" Le voilà aux portes de la succession.", CD
" Kabund, l’héritier inattendu du Sphinx ", CD
" Toutefois, Jean-Marc Kabund et les événements qui vont arriver déjouent les pronostics.", CD
" D’abord la disparition du Sphinx qui plonge le parti en crise.", CD
" À l’issue d’âpres discussions autour de la CENCO au Centre Interdiocésain et un accord arraché au bout de la nuit de la Saint-Sylvestre, Etienne Tshisekedi passe l’arme à gauche le 1er février 2017.", CD
" Pendant ce temps, la purge commence au sein de son parti où la famille veut garder la main mise.", CD
" Pour avoir été rencontré Joseph Kabila, Valatin Mubake est défenestré du parti.", CD
" Pendant ce temps, depuis la prison, Bruno Tshibala conteste la montée combinée de Félix Tshisekedi et Jean-Marc Kabund.", CD
" Il rejoint Joseph Kabila et, de ce fait, est radié du parti.", CD
" Cependant, ces manœuvres ne pourraient s’opérer sans la main de Jean-Marc Kabund, qui s’affirme alors de plus en plus.", CD
" Techniquement, après la mort d’Etienne Tshisekedi, il devient le numéro un du parti, puisqu’étant Secrétaire général.", CD
" Félix Tshisekedi campe sur son poste de Secrétaire général adjoint.", CD
" « Bien que toutes les décisions soient prises par Félix Tshisekedi autour de Mama Marthe (Tshisekedi), publiquement, c’est Kabund qui devait les entériner.", CD
" Et il aurait pu, s’il n’était pas fidèle, s’y opposer.", CD
" D’autant plus qu’il commençait de plus en plus à être apprécié par les combattants de l’UDPS », explique une source interne.", CD
" Kabund s’impose par ailleurs comme un véritable cadre au sein de l’UDPS.", CD
" Il est acclamé pour sa fougue et sa diatribe qui n’est pas sans rappeler un certain Etienne Tshisekedi dont l’ombre plane depuis l’au-delà sur ce parti qui peine à adouber son fils Félix Tshisekedi.", CD
" Début 2018, Jean-Marc Kabund se découvre même vrai leader du parti, devant Félix Tshisekedi, qui ne peut officiellement le supplanter.", CD
" Au Congrès de l’UDPS en mars 2018, il joue un rôle crucial pour que Félix Tshisekedi accède finalement à la tête du parti.", CD
" « Il y avait d’abord les poursuites de Loseke contre lui.", CD
" Mais en sous-marin, le camp de Kabila avait approché Kabund avec des offres flatteuses pour qu’il fasse annuler le Congrès.", CD
" Et il avait catégoriquement refusé, prouvant sa fidélité à Félix Tshisekedi », révèle une source proche du parti.", CD
" Félix Tshisekedi va récompenser Kabund de sa fidélité.", CD
" Lorsqu’il est élu à la tête de l’UDPS, l’ancien Secrétaire général démissionne de son poste.", CD
" Mais il sera reconduit.", CD
" Dès lors, Kabund devient plus que jamais une pièce maîtresse de l’arrivée de Félix Tshisekedi au pouvoir.", CD
" En effet, lorsque Félix Tshisekedi se rend à Genève en Suisse au Conclave de l’Opposition qui finit par désigner Martin Fayulu candidat commun, Jean-Marc Kabund hausse le ton et intime l’ordre à Félix Tshisekedi de retirer sa signature à cette désignation.", CD
" Le futur président de la RDC s’exécutera et ira formé une alliance avec Vital Kamerhe.", CD
" Une alliance qui propulsera Félix Tshisekedi au pouvoir à l’issue de trois décennies de lutte de l’UDPS.", CD
" « Tshisekedi me doit son pouvoir » ", CD
" Néanmoins, à l’arrivée du pouvoir, les choses changent au sein de l’UDPS.", CD
" Tout d’abord, les querelles internes éclatent.", CD
" Jean-Marc Kabund est désigné « Président intérimaire » de l’UDPS à la place de Félix Tshisekedi, qui doit prendre la Présidence du pays.", CD
" Une décision qui n’est toutefois pas légale au regard des textes de l’UDPS.", CD
" Une branche au sein du parti s’oppose dès lors à Kabund, d’autant plus que ce dernier a choisi Augustin Kabuya pour le succéder comme Secrétaire général.", CD
" Félix Tshisekedi issu de l’espace Luba, Kabund également, le choix de Kabuya fait alors de l’UDPS, déjà pointée du doigt, un parti exclusivement Luba.", CD
" En interne, Jacquemain Shabani et un certain, retenez bien ce nom, Victor Wakwenda mènent l’offensive.", CD
" Mais ils sont écrasés par le nouvel homme fort du parti.", CD
" D’autant plus que Félix Tshisekedi semble laisser mains libres à Jean-Marc Kabund.", CD
" Pendant ce temps, Kabund, véritable « combattant », s’avère être une pièce maîtresse de Félix Tshisekedi en ce début du pouvoir.", CD
" Félix Tshisekedi s’est allié Joseph Kabila.", CD
" Kabund est au centre des discussions pour la mise en place de cette alliance.", CD
" A ses proches, il dit même qu’il est « l’informateur » pour la formation du futur gouvernement.", CD
" Il est filmé montant, tel Napoléon, sur un Cheval aux côtés des cadres du FCC en retraite à Mbuela Lodge.", CD
" Les jours qui arrivent consacrent la montée en puissance de cet homme.", CD
" Il monte tellement, tel Ikar, le voilà même contredisant Félix Tshisekedi.", CD
" En effet, alors l’UDPS célébrait ses 38 ans en février 2020 au Stade des martyrs à Kinshasa, Kabund est en colère au sujet des travaux de 100 jours autour de Sauts-de-mouton qui sont alors au cœur d’une vive polémique.", CD
" Il appelle donc la justice à se saisir de ce dossier.", CD
" « Que les responsabilités soient établies.", CD
" Mais en attendant l’UDPS exige la démission de toute personne quel que soit son rang et ses fonctions citée ou sur qui repose une hausse de soupçon dans le cadre de travaux des 100 jours du Chef de l’Etat », appelle-t-il.", CD
" Toutefois, Félix Tshisekedi avait visité les travaux de Sauts-de-mouton quelques jours avant pour en évaluer l’évolution des travaux.", CD
" Et selon le compte rendu du gouvernement envoyé à POLITICO.CD par le ministère de la Communication et des médias à l’époque, le constat général est satisfaisant.", CD
" « Les entreprises travaillant en régie avec l’Office des Routes «O.R >> et l’Office des Voiries et Drainage « OVD >> ont pris l’engagement ferme de terminer tous les sauts de mouton avant le 30 mai 2020, ceci suivant le plan de décaissement qui avait été arrêté à l’issue de la rencontre entre le Premier Ministre, les Vice-premiers Ministres du Budget et des ITPR, le Ministre des Finances, le Gouverneur de la Banque Centrale, les patrons des entreprises prestataires, ainsi que les ADG de l’Office des Routes et de l’Office des Voiries et Drainage» , fait-on savoir.", CD
" Il rêve de succéder à Tshisekedi ", CD
" Du côté de l’UDPS, cadres et membres voient une structure étrange faire surface.", CD
" « Décision finale », tel est son nom.", CD
" Elle est présentée comme un « courant » au sein du parti.", CD
" Quelques voix, notamment, et encore, Victor Victor Wakwenda tentent de hurler.", CD
" Mais elles sont réduites au silence.", CD
" Ces premières fissures ne sont pas remarquables entre Félix Tshisekedi et Jean-Marc Kabund.", CD
" L’ambiance est au beau-fixe.", CD
" Et le rôle de « combattant » que Kabund va jouer dans le divorce d’avec Joseph Kabila et la chute de sa majorité contribue à confirmer cette entente visiblement parfaite.", CD
" En effet, pendant que la tension monte entre Tshisekedi et Kabila, Kabund est le bulldog de Limete.", CD
" Il est même surnommé « Maître-nageur », promettant aux Kabilistes de « traverser » à la nage vers Brazzaville s’il le voulait.", CD
" Lorsque l’alliance éclate enfin, à l’issue d’un discours offensif de Félix Tshisekedi appelant à la création d’une « Union Sacrée » autour de son pouvoir, c’est lui, Kabund, qui manœuvre dans les coulisses pour créer la nouvelle majorité au pouvoir.", CD
" Il est donc le Chef officieux des députés transfuges Kabilistes.", CD
" Et il ne rate aucune occasion pour le faire savoir autour de lui.", CD
" Le jeudi 8 avril 2021 au chapiteau de GB à Kinshasa, Jean-Marc Kabund est à la tête du « Task force » chargé de constituer une nouvelle majorité pour Félix Tshisekedi.", CD
" Les 302 députés nationaux présents à l’invitation se sont engagés à soutenir le futur Gouvernement.", CD
" Les élus prennent l’engagement de s’associer à Jean-Marc Kabund pour soutenir la constitution du programme du Gouvernement Sama, en mettant en valeur, disent-ils, les « véritables problèmes de leurs différentes circonscriptions électorales, reflet du Congo profond » et battre le rappel des troupes.", CD
" Kabund, qui était déchu de son poste du 1er vice-président de l’Assemblée nationale quelques mois avant, est plus que jamais au sommet.", CD
" Et c’est peut-être là que sa chute commence véritablement.", CD
" En effet, déjà la veille de cette rencontre au Chapiteau de GB, Kabund était à l’Assemblée nationale.", CD
" Dans une énième sortie médiatique cinglante, il se lance : « cette fois-ci, tous ceux qui seront cités dans le rapport d’enquête vont répondre de leurs actes devant la Justice ».", CD
" La mise en garde du 1er Vice-président de l’Assemblée Nationale a lieu au cours de l’examen de la résolution sur la mise en place d’une commission d’enquête parlementaire sur la situation sécuritaire dans l’Est de la RDC.", CD
" Gardant le même style oratoire, Jean-Marc Kabund-a-Kabund convie ses collègues à se donner à fond pour la réussite de cette initiative.", CD
" « Cette fois-ci, nous n’allons pas venir ici écouter le rapport de la commission et aller dormir.", CD
" Alors, tous ceux qui seront cités dans ce rapport (militaire, civil et homme politique), cette fois-ci, nous nous mettrons debout pour qu’ils répondent de leurs actes devant la justice.", CD
" Personne ne pourra nous échapper », a-t-il harangué.", CD
" Les origines d’une noyade ", CD
" Des propos chocs qui froissent, surtout au niveau de l’armée.", CD
" Par ailleurs, Kabund prend goût au pouvoir et commence à rendre justice lui-même.", CD
" Dans les rues de Kinshasa, son cortège extrêmement sécurisé terrorise les kinois qui violent le code de la route.", CD
" Le vice-président de l’Assemblée nationale ordonne lui-même que l’on crève de pneus.", CD
" Il fait justice et tente d’instaurer, par la force s’il le faut, la philosophie du peuple d’abord qu’il veut incarner au cœur de l’UDPS.", CD
" Et lorsque les conducteurs ne sont pas remis à leur place, c’est d’autres hauts dirigeants du pays qui sont visés.", CD
" Le redoutable François Beya, Conseiller spécial de Félix Tshisekedi en matière de sécurité en fait les frais.", CD
" Jean-Marc Kabund n’hésite pas à le fustiger publiquement, ne digérant pas ses propos tenus au Rwanda.", CD
" En effet, dans une réunion des chefs des renseignements de la RDC et du Rwanda le samedi 13 février 2021, François Beya a déclaré que la délégation congolaise s’est rendue à Kigali pour « défier le monde entier qui ne veut pas » que les deux pays travaillent ensemble.", CD
" Des propos que Jean-Marc Kabund qualifie de « grave » et annonce que l’UDPS les « rejette avec force ».", CD
" « L’UDPS considère les propos de (conseiller spécial, ndlr) BEYA au Rwanda de grave et les rejette avec force.", CD
" Ces propos qui exposent le pays ne reflètent pas la vision du Chef de l’Etat qui prône le multilatéralisme comme mode de règlement des conflits mondiaux et demande à ce dernier de s’assumer », a tweeté Kabund.", CD
" Les jours passent et Kabund continue étrangement d’incarner une distance d’avec les actes posés par le pouvoir de Félix Tshisekedi.", CD
" En juin dernier, alors que le président congolais est sévèrement critiqué pour ses dépassements budgétaires, Jean-Marc Kabund interpelle le Gouvernement pour la réduction du train de vie des institutions.", CD
" « Un budget faible avec un train de vie des institutions (60%) le plus élevé au monde est une inconscience collective », lance-t-il à l’occasion de l’examen d’un nouveau budget à l’Assemblée nationale.", CD
" « Réduire de 50% le train de vie de nos Institutions au profit du peuple d’abord serait un acte de responsabilité », ajoute-t-il.", CD
" Des sorties qui ont fini par énerver autour de Félix Tshisekedi.", CD
" Car si Kabund paraît finalement défendre l’idée de servir réellement les Congolais, les dessous de ses interventions sont d’ordre politique.", CD
" « Kabund s’est vu trop beau.", CD
" Rappelez-vous déjà de ses écarts de conduite devant le Général Amuli au Palais du peuple.", CD
" Mais aussi de ses déclarations autour du Congrès à 7 millions qui lui ont valu la déchéance.", CD
" Avec le temps, il s’est vu trop puissant et a commencé à rêver de succéder à Félix Tshisekedi », explique une source dans le cabinet du président congolais, qui a requis l’anonymat.", CD
" Félix Tshisekedi ne peut pas faire plus de deux mandat à la Présidence selon la Constitution congolaise.", CD
" Et au regard de son bilan actuel et des challengers qui l’attendent de pied ferme pour la Présidentielle de 2023, l’UDPS devrait à tout prix se chercher un autre candidat en 2028.", CD
" Une situation qui aurait, selon plusieurs proches du Président congolais, poussé Jean-Marc Kabund à rêver déjà le succéder.", CD
" « Il n’y a pas que 2028.", CD
" Si le bilan du pouvoir est si négatif, il se peut que l’UDPS perde le pouvoir.", CD
" Ayant amassé une bonne fortune depuis son arrivée au pouvoir, Kabund a semblé se préparer à toute éventualité, sans Félix Tshisekedi », ajoute notre source.", CD
" Quoi qu’il en soit, autour de Félix Tshisekedi et même au sein de la famille du Chef de l’Etat, dépositaire du parti UDPS, le personnage de Kabund et ses ambitions commençaient à gêner.", CD
